中文名,adcode,citycode,adcode_first,adcode_second,adcode_third
临潭县,623021,0941,62,30,21
卓尼县,623022,0941,62,30,22
舟曲县,623023,0941,62,30,23
迭部县,623024,0941,62,30,24
玛曲县,623025,0941,62,30,25
碌曲县,623026,0941,62,30,26
夏河县,623027,0941,62,30,27
青海省,630000,,63,00,00
西宁市,630100,0971,63,01,00
西宁市市辖区,630101,0971,63,01,01
城东区,630102,0971,63,01,02
城中区,630103,0971,63,01,03
城西区,630104,0971,63,01,04
城北区,630105,0971,63,01,05
大通回族土族自治县,630121,0971,63,01,21
湟中区,630106,0971,63,01,06
湟源县,630123,0971,63,01,23
海东市,630200,0972,63,02,00
乐都区,630202,0972,63,02,02
平安区,630203,0972,63,02,03
民和回族土族自治县,630222,0972,63,02,22
互助土族自治县,630223,0972,63,02,23
化隆回族自治县,630224,0972,63,02,24
循化撒拉族自治县,630225,0972,63,02,25
海北藏族自治州,632200,0970,63,22,00
门源回族自治县,632221,0970,63,22,21
祁连县,632222,0970,63,22,22
海晏县,632223,0970,63,22,23
刚察县,632224,0970,63,22,24
黄南藏族自治州,632300,0973,63,23,00
同仁市,632301,0973,63,23,01
尖扎县,632322,0973,63,23,22
泽库县,632323,0973,63,23,23
河南蒙古族自治县,632324,0973,63,23,24
海南藏族自治州,632500,0974,63,25,00
共和县,632521,0974,63,25,21
同德县,632522,0974,63,25,22
贵德县,632523,0974,63,25,23
兴海县,632524,0974,63,25,24
贵南县,632525,0974,63,25,25
果洛藏族自治州,632600,0975,63,26,00
玛沁县,632621,0975,63,26,21
班玛县,632622,0975,63,26,22
甘德县,632623,0975,63,26,23
达日县,632624,0975,63,26,24
久治县,632625,0975,63,26,25
玛多县,632626,0975,63,26,26
玉树藏族自治州,632700,0976,63,27,00
玉树市,632701,0976,63,27,01
杂多县,632722,0976,63,27,22
称多县,632723,0976,63,27,23
治多县,632724,0976,63,27,24
囊谦县,632725,0976,63,27,25
曲麻莱县,632726,0976,63,27,26
海西蒙古族藏族自治州,632800,0977,63,28,00
格尔木市,632801,0977,63,28,01
德令哈市,632802,0977,63,28,02
茫崖市,632803,0977,63,28,03
乌兰县,632821,0977,63,28,21
都兰县,632822,0977,63,28,22
天峻县,632823,0977,63,28,23
海西蒙古族藏族自治州直辖,632825,0977,63,28,25
宁夏回族自治区,640000,,64,00,00
银川市,640100,0951,64,01,00
银川市市辖区,640101,0951,64,01,01
兴庆区,640104,0951,64,01,04
西夏区,640105,0951,64,01,05
金凤区,640106,0951,64,01,06
永宁县,640121,0951,64,01,21
贺兰县,640122,0951,64,01,22
灵武市,640181,0951,64,01,81
石嘴山市,640200,0952,64,02,00
石嘴山市市辖区,640201,0952,64,02,01
大武口区,640202,0952,64,02,02
惠农区,640205,0952,64,02,05
平罗县,640221,0952,64,02,21
吴忠市,640300,0953,64,03,00
吴忠市市辖区,640301,0953,64,03,01
利通区,640302,0953,64,03,02
红寺堡区,640303,0953,64,03,03
盐池县,640323,0953,64,03,23
同心县,640324,0953,64,03,24
青铜峡市,640381,0953,64,03,81
固原市,640400,0954,64,04,00
固原市市辖区,640401,0954,64,04,01
原州区,640402,0954,64,04,02
西吉县,640422,0954,64,04,22
隆德县,640423,0954,64,04,23
泾源县,640424,0954,64,04,24
彭阳县,640425,0954,64,04,25
中卫市,640500,1953,64,05,00
中卫市市辖区,640501,1953,64,05,01
沙坡头区,640502,1953,64,05,02
中宁县,640521,1953,64,05,21
海原县,640522,1953,64,05,22
新疆维吾尔自治区,650000,,65,00,00
乌鲁木齐市,650100,0991,65,01,00
乌鲁木齐市市辖区,650101,0991,65,01,01
天山区,650102,0991,65,01,02
沙依巴克区,650103,0991,65,01,03
新市区,650104,0991,65,01,04
水磨沟区,650105,0991,65,01,05
头屯河区,650106,0991,65,01,06
达坂城区,650107,0991,65,01,07
米东区,650109,0991,65,01,09
乌鲁木齐县,650121,0991,65,01,21
克拉玛依市,650200,0990,65,02,00
克拉玛依市市辖区,650201,0990,65,02,01
独山子区,650202,0990,65,02,02
克拉玛依区,650203,0990,65,02,03
白碱滩区,650204,0990,65,02,04
乌尔禾区,650205,0990,65,02,05
吐鲁番市,650400,0995,65,04,00
高昌区,650402,0995,65,04,02
鄯善县,650421,0995,65,04,21
托克逊县,650422,0995,65,04,22
胡杨河市,659010,0992,65,90,10
哈密市,650500,0902,65,05,00
伊州区,650502,0902,65,05,02
巴里坤哈萨克自治县,650521,0902,65,05,21
伊吾县,650522,0902,65,05,22
昌吉回族自治州,652300,0994,65,23,00
昌吉市,652301,0994,65,23,01
阜康市,652302,0994,65,23,02
呼图壁县,652323,0994,65,23,23
玛纳斯县,652324,0994,65,23,24
奇台县,652325,0994,65,23,25
吉木萨尔县,652327,0994,65,23,27
木垒哈萨克自治县,652328,0994,65,23,28
博尔塔拉蒙古自治州,652700,0909,65,27,00
博乐市,652701,0909,65,27,01
阿拉山口市,652702,0909,65,27,02
精河县,652722,0909,65,27,22
温泉县,652723,0909,65,27,23
巴音郭楞蒙古自治州,652800,0996,65,28,00
库尔勒市,652801,0996,65,28,01
轮台县,652822,0996,65,28,22
尉犁县,652823,0996,65,28,23
若羌县,652824,0996,65,28,24
且末县,652825,0996,65,28,25
焉耆回族自治县,652826,0996,65,28,26
和静县,652827,0996,65,28,27
和硕县,652828,0996,65,28,28
博湖县,652829,0996,65,28,29
阿克苏地区,652900,0997,65,29,00
阿克苏市,652901,0997,65,29,01
温宿县,652922,0997,65,29,22
库车市,652902,0997,65,29,02
沙雅县,652924,0997,65,29,24
新和县,652925,0997,65,29,25
拜城县,652926,0997,65,29,26
乌什县,652927,0997,65,29,27
阿瓦提县,652928,0997,65,29,28
柯坪县,652929,0997,65,29,29
克孜勒苏柯尔克孜自治州,653000,0908,65,30,00
阿图什市,653001,0908,65,30,01
阿克陶县,653022,0908,65,30,22
阿合奇县,653023,0908,65,30,23
乌恰县,653024,0908,65,30,24
喀什地区,653100,0998,65,31,00
喀什市,653101,0998,65,31,01
疏附县,653121,0998,65,31,21
疏勒县,653122,0998,65,31,22
英吉沙县,653123,0998,65,31,23
泽普县,653124,0998,65,31,24
莎车县,653125,0998,65,31,25
叶城县,653126,0998,65,31,26
麦盖提县,653127,0998,65,31,27
岳普湖县,653128,0998,65,31,28
伽师县,653129,0998,65,31,29
巴楚县,653130,0998,65,31,30
塔什库尔干塔吉克自治县,653131,0998,65,31,31
和田地区,653200,0903,65,32,00
和田市,653201,0903,65,32,01
和田县,653221,0903,65,32,21
墨玉县,653222,0903,65,32,22
皮山县,653223,0903,65,32,23
洛浦县,653224,0903,65,32,24
策勒县,653225,0903,65,32,25
于田县,653226,0903,65,32,26
民丰县,653227,0903,65,32,27
伊犁哈萨克自治州,654000,0999,65,40,00
伊宁市,654002,0999,65,40,02
奎屯市,654003,0999,65,40,03
霍尔果斯市,654004,0999,65,40,04
伊宁县,654021,0999,65,40,21
察布查尔锡伯自治县,654022,0999,65,40,22
霍城县,654023,0999,65,40,23
巩留县,654024,0999,65,40,24
新源县,654025,0999,65,40,25
昭苏县,654026,0999,65,40,26
特克斯县,654027,0999,65,40,27
尼勒克县,654028,0999,65,40,28
塔城地区,654200,0901,65,42,00
塔城市,654201,0901,65,42,01
乌苏市,654202,0901,65,42,02
额敏县,654221,0901,65,42,21
沙湾县,654223,0901,65,42,23
托里县,654224,0901,65,42,24
裕民县,654225,0901,65,42,25
和布克赛尔蒙古自治县,654226,0901,65,42,26
阿勒泰地区,654300,0906,65,43,00
阿勒泰市,654301,0906,65,43,01
布尔津县,654321,0906,65,43,21
富蕴县,654322,0906,65,43,22
福海县,654323,0906,65,43,23
哈巴河县,654324,0906,65,43,24
青河县,654325,0906,65,43,25
吉木乃县,654326,0906,65,43,26
石河子市,659001,0993,65,90,01
阿拉尔市,659002,1997,65,90,02
图木舒克市,659003,1998,65,90,03
五家渠市,659004,1994,65,90,04
北屯市,659005,1906,65,90,05
铁门关市,659006,1996,65,90,06
双河市,659007,1909,65,90,07
可克达拉市,659008,1999,65,90,08
昆玉市,659009,1903,65,90,09
台湾省,710000,1886,71,00,00
香港特别行政区,810000,1852,81,00,00
中西区,810001,1852,81,00,01
湾仔区,810002,1852,81,00,02
东区,810003,1852,81,00,03
南区,810004,1852,81,00,04
油尖旺区,810005,1852,81,00,05
深水埗区,810006,1852,81,00,06
九龙城区,810007,1852,81,00,07
黄大仙区,810008,1852,81,00,08
观塘区,810009,1852,81,00,09
荃湾区,810010,1852,81,00,10
屯门区,810011,1852,81,00,11
元朗区,810012,1852,81,00,12
北区,810013,1852,81,00,13
大埔区,810014,1852,81,00,14
西贡区,810015,1852,81,00,15
沙田区,810016,1852,81,00,16
葵青区,810017,1852,81,00,17
离岛区,810018,1852,81,00,18
澳门特别行政区,820000,1853,82,00,00
花地玛堂区,820001,1853,82,00,01
花王堂区,820002,1853,82,00,02
望德堂区,820003,1853,82,00,03
大堂区,820004,1853,82,00,04
风顺堂区,820005,1853,82,00,05
嘉模堂区,820006,1853,82,00,06
路凼填海区,820007,1853,82,00,07
圣方济各堂区,820008,1853,82,00,08
外国,900000,1900,90,00,00
